,dien_tich,phong_ngu,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,id_duong,ten_duong,do_rong_duong,id_phuong,ten_phuong
0,48.0,4.801504451949647,1.0,10.0,,,,21.0127217,105.8465188,19200.0,400.0,5e958eea208d0d6d7648fdf4,Đường Lê Đại Hành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
1,51.0,4.0,5.0,6.0,,,,20.9963826,105.8619728,7100.0,139.2156862745098,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
2,120.0,4.801504451949647,4.776731098605334,6.0,,,,20.999962,105.8616199,29000.0,241.66666666666663,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,5e5501cbeb80a7245175e142,Phường Vĩnh Tuy
3,46.0,4.801504451949647,4.776731098605334,10.0,,Tây Nam,Đã có sổ đỏ,20.9965967,105.864007,15180.0,330.0,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
4,43.0,3.0,4.776731098605334,,Đầy đủ,,Đã có sổ,21.0251735,105.8496706,6900.0,160.46511627906978,,,,,
5,163.0,4.801504451949647,7.0,6.3,,,,21.0146013,105.8492911,73350.0,450.0,5e958eea208d0d6d7648fe30,Phố Bà Triệu,,,
6,58.0,2.0,4.776731098605334,,Cơ bản,,Đã có sổ,21.0251735,105.8496706,5800.0,100.0,,,,,
7,58.0,2.0,4.776731098605334,,Cơ bản,,Đã có sổ,21.0251735,105.8496706,5800.0,100.0,,,,,
8,58.0,2.0,4.776731098605334,,Cơ bản,,Đã có sổ,21.0251735,105.8496706,5800.0,100.0,,,,,
9,131.0,4.801504451949647,2.0,5.7,,Đông-Bắc,,21.005662,105.851676,29500.0,225.1908396946565,5e958eea208d0d6d7648fde0,Đường Dương Văn Bé,24.0,,
10,69.0,4.801504451949647,4.0,3.7,,KXĐ,,20.9979326,105.8503243,25000.0,362.3188405797101,5e958eea208d0d6d7648fe31,Phố Bạch Mai,20.0,5e5501cbeb80a7245175e143,Phường Bạch Mai
11,48.8,4.801504451949647,4.0,4.0,,KXĐ,,21.005662,105.851676,15500.0,317.62295081967216,5e958eea208d0d6d7648fe41,Phố Lạc Trung,16.0,,
12,30.0,4.801504451949647,3.0,6.3,,KXĐ,,21.0115971,105.8533051,5500.0,183.33333333333331,5e958eea208d0d6d7648fddd,Đường Dốc Thọ Lão,10.0,,
13,141.0,4.801504451949647,10.0,7.0,,Tây,,21.0146013,105.8492911,70500.0,500.0,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,15.0,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
14,140.0,4.801504451949647,9.0,9.0,,KXĐ,,21.005662,105.851676,56000.0,400.0,5e958eea208d0d6d7648fdf9,Đường Minh Khai,100.0,5e5501cbeb80a7245175e146,Phường Minh Khai
15,48.8,4.801504451949647,4.776731098605334,5.0,Nội thất cơ bản,,"Sổ đỏ chính chủ, pháp lý rõ ràng",20.9979896,105.8666987,5100.0,104.50819672131148,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
16,231.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0146013,105.8492911,86000.0,301.7543859649123,5e958eea208d0d6d7648fe15,Đường Tô Hiến Thành,,,
17,150.0,10.5,10.5,510.0,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt.",,Sổ đỏ,21.014855,105.8504718,110000.0,733.3333333333334,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
18,100.0,4.801504451949647,4.776731098605334,7.0,,KXĐ,,21.0115971,105.8533051,58000.0,580.0,5e958eea208d0d6d7648fe24,Đường Triệu Việt Vương,,,
19,83.0,4.801504451949647,5.0,,,KXĐ,,21.005662,105.851676,22990.0,276.9879518072289,5e958eea208d0d6d7648fe31,Phố Bạch Mai,30.0,5e5501cbeb80a7245175e143,Phường Bạch Mai
20,111.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.005662,105.851676,27500.0,247.74774774774772,5e958eea208d0d6d7648fde8,Đường Giải Phóng,,,
21,50.0,4.801504451949647,1.0,4.2,,Bắc,,21.0115971,105.8533051,8900.0,178.0,5e958eea208d0d6d7648fdf2,Đường Lãng Yên,6.0,,
22,115.0,4.801504451949647,4.776731098605334,5.0,,KXĐ,,21.0146013,105.8492911,59500.0,517.3913043478261,5e958eea208d0d6d7648fe49,Phố Mai Hắc Đế,,,
23,39.3,4.801504451949647,4.776731098605334,4.55,,Nam,"Sổ đỏ chính chủ, mới cấp Q2/2021, sẵn sàng giao dịch.",20.9992609,105.8622475,4600.0,115.0,5e958eea208d0d6d7648fe2c,Đường Vĩnh Tuy,,5e5501cbeb80a7245175e142,Phường Vĩnh Tuy
24,88.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0146013,105.8492911,60000.0,681.8181818181819,5e958eea208d0d6d7648fe30,Phố Bà Triệu,,,
25,90.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0146013,105.8492911,60000.0,666.6666666666666,5e958eea208d0d6d7648fe16,Đường Tuệ Tĩnh,,,
26,75.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.005662,105.851676,12300.0,164.0,5e958eea208d0d6d7648fe26,Đường Trương Định,,5e5501cbeb80a7245175e147,Phường Trương Định
27,106.0,4.801504451949647,4.0,8.0,,KXĐ,,20.9979326,105.8503243,16500.0,155.66037735849056,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
28,66.6,4.801504451949647,4.776731098605334,,,KXĐ,,21.005662,105.851676,28500.0,427.927927927928,5e958eea208d0d6d7648fe46,Phố Lò Đúc,,,
29,140.0,4.801504451949647,4.0,11.5,,,,21.0115971,105.8533051,68500.0,489.2857142857143,5e958eea208d0d6d7648fe28,Đường Vân Hồ,6.0,,
30,192.0,4.801504451949647,4.0,9.0,,KXĐ,,21.0146013,105.8492911,87000.0,453.125,5e958eea208d0d6d7648fe20,Đường Trần Nhân Tông,,,
31,200.0,6.0,5.0,8.0,,,Có sổ.,21.0164338,105.8503476,86000.0,463.1578947368421,5e958eea208d0d6d7648fe24,Đường Triệu Việt Vương,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
32,100.0,4.801504451949647,10.0,5.5,,KXĐ,,21.0146013,105.8492911,60000.0,600.0,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
33,50.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0010321,105.8451127,13800.0,394.2857142857143,5e958eea208d0d6d7648fe58,Phố Trần Đại Nghĩa,,,
34,57.0,4.801504451949647,4.776731098605334,,,KXĐ,,20.9979326,105.8503243,21300.0,373.6842105263158,5e958eea208d0d6d7648fe31,Phố Bạch Mai,,5e5501cbeb80a7245175e143,Phường Bạch Mai
35,50.0,4.801504451949647,4.0,4.0,,KXĐ,,21.005662,105.851676,15500.0,310.0,5e958eea208d0d6d7648fe41,Phố Lạc Trung,30.0,,
36,80.0,4.801504451949647,5.0,5.5,,KXĐ,,21.005662,105.851676,39000.0,487.5,5e958eea208d0d6d7648fe46,Phố Lò Đúc,10.0,,
37,32.0,4.801504451949647,4.0,2.9,,KXĐ,,21.0115971,105.8533051,17500.0,546.875,5e958eea208d0d6d7648fe4d,Phố Phố Huế,10.0,5e5501cbeb80a7245175e13b,Phường Phố Huế
38,231.0,4.801504451949647,3.0,8.0,,Nam,,21.005662,105.851676,58000.0,235.77235772357724,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,45.0,,
39,75.0,4.801504451949647,4.776731098605334,8.0,,KXĐ,,21.005662,105.851676,12300.0,164.0,5e958eea208d0d6d7648fe26,Đường Trương Định,,5e5501cbeb80a7245175e147,Phường Trương Định
40,25.0,4.801504451949647,4.0,3.1,,KXĐ,,21.005662,105.851676,7900.0,316.0,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,9.0,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
41,31.0,4.0,5.0,,Đủ đồ,,Sổ đỏ,21.0081338,105.8462749,5300.0,170.96774193548387,5e958eea208d0d6d7648fde1,Đường Đại Cồ Việt,,5e5501cbeb80a7245175e13f,Phường Cầu Dền
42,46.0,6.0,6.0,5.0,,,Sổ đỏ chính chủ,21.0125745,105.8462127,28000.0,608.695652173913,5e958eea208d0d6d7648fe01,Đường Nguyễn Đình Chiểu,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
43,45.0,2.0,3.0,,Đồ cơ bản,,Sổ đỏ,21.0138567,105.8543244,9200.0,204.44444444444449,5e958eea208d0d6d7648fdff,Đường Nguyễn Công Trứ,,5e5501cbeb80a7245175e13b,Phường Phố Huế
44,140.0,4.801504451949647,4.776731098605334,12.0,,,Sổ đỏ chính chủ,21.0151325,105.8492108,68000.0,485.7142857142857,5e958eea208d0d6d7648fe00,Đường Nguyễn Du,,5e5501cbeb80a7245175e134,Phường Nguyễn Du
45,72.0,4.801504451949647,4.776731098605334,,,,,20.9976325,105.842556,25000.0,347.22222222222223,5e958eea208d0d6d7648fe4e,Phố Phố Vọng,,5e5501cbeb80a7245175e140,Phường Bách Khoa
46,23.0,4.801504451949647,3.0,3.0,,KXĐ,,21.0115971,105.8533051,5500.0,239.1304347826087,5e958eea208d0d6d7648fde1,Đường Đại Cồ Việt,20.0,,
47,50.0,4.801504451949647,4.776731098605334,5.3,,KXĐ,,21.0146013,105.8492911,32000.0,640.0,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
48,38.0,3.0,6.0,4.4,,,Sổ đỏ chính chủ.,21.0101582,105.8532279,12500.0,328.94736842105266,5e958eea208d0d6d7648fe35,Phố Chùa Vua,,5e5501cbeb80a7245175e13b,Phường Phố Huế
49,141.0,4.801504451949647,10.0,7.0,,,Sổ 1 chủ,21.014855,105.8504718,70000.0,496.4539007092199,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
50,63.0,4.0,3.0,4.0,,,Sổ đỏ chính chủ,20.996536,105.862438,13900.0,220.63492063492063,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,5e5501cbeb80a7245175e142,Phường Vĩnh Tuy
51,47.0,3.0,5.0,4.0,Full nội thất,,Đã có sổ đỏ,20.9954314,105.8564223,10900.0,231.91489361702128,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
52,60.0,6.0,5.0,,Full nội thất,,Đã có sổ đỏ,20.9966858,105.8738462,14100.0,235.0,5e958eea208d0d6d7648fde0,Đường Dương Văn Bé,,5e5501cbeb80a7245175e146,Phường Minh Khai
53,136.0,4.801504451949647,2.0,7.4,,KXĐ,,21.005662,105.851676,36000.0,264.7058823529412,5e958eea208d0d6d7648fe1e,Đường Trần Khánh Dư,15.0,,
54,27.0,4.801504451949647,4.776731098605334,,,,,21.0123071,105.8451758,5500.0,203.7037037037037,5e958eea208d0d6d7648fdf4,Đường Lê Đại Hành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
55,30.0,4.801504451949647,4.776731098605334,,,,,21.0053964,105.8569193,6000.0,200.0,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
56,86.0,4.801504451949647,4.776731098605334,,,,,20.9967604,105.8432719,19000.0,220.93023255813952,,,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
57,110.0,4.801504451949647,4.776731098605334,,,,,21.0067485,105.8503135,15000.0,136.36363636363637,,,,5e5501cbeb80a7245175e13f,Phường Cầu Dền
58,65.0,4.801504451949647,4.776731098605334,,,,,20.9959104,105.8576533,19000.0,292.3076923076923,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
59,175.0,4.801504451949647,4.776731098605334,,,,,21.0115168,105.8533481,138000.0,788.5714285714286,5e958eea208d0d6d7648fe4d,Phố Phố Huế,,5e5501cbeb80a7245175e13b,Phường Phố Huế
60,70.0,4.801504451949647,4.776731098605334,,,,,20.9967604,105.8432719,26500.0,378.57142857142856,,,,5e5501cbeb80a7245175e141,Phường Đồng Tâm
61,75.0,4.801504451949647,4.776731098605334,,,,,21.0068975,105.8715997,17000.0,226.66666666666663,5e958eea208d0d6d7648fe18,Đường Thanh Lương,,5e5501cbeb80a7245175e13d,Phường Thanh Lương
62,139.0,4.801504451949647,9.0,9.0,,KXĐ,,21.005662,105.851676,56000.0,402.8776978417266,5e958eea208d0d6d7648fdf9,Đường Minh Khai,25.0,5e5501cbeb80a7245175e146,Phường Minh Khai
63,70.0,4.801504451949647,2.0,4.0,,KXĐ,,21.005662,105.851676,19500.0,278.57142857142856,5e958eea208d0d6d7648fdf9,Đường Minh Khai,25.0,5e5501cbeb80a7245175e146,Phường Minh Khai
64,32.0,4.0,5.0,4.1,Cao cấp,,Đã có sổ,21.0069151,105.8656789,4950.0,154.6875,5e958eea208d0d6d7648fde3,Đường Đê Trần Khát Chân,,5e5501cbeb80a7245175e13c,Phường Đống Mác
65,231.0,4.801504451949647,4.776731098605334,25.0,,KXĐ,,21.0146013,105.8492911,235000.0,643.8356164383562,5e958eea208d0d6d7648fe30,Phố Bà Triệu,,,
66,231.0,4.801504451949647,3.0,9.5,,KXĐ,,21.0115971,105.8533051,135000.0,567.2268907563025,5e958eea208d0d6d7648fe4d,Phố Phố Huế,12.0,5e5501cbeb80a7245175e13b,Phường Phố Huế
67,231.0,4.801504451949647,9.0,9.0,,KXĐ,,21.0146013,105.8492911,135000.0,544.3548387096774,5e958eea208d0d6d7648fe24,Đường Triệu Việt Vương,25.0,,
68,90.0,8.0,6.0,,FULL,,RIÊNG ĐẸP,21.0015145,105.8458686,24000.0,266.6666666666667,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,,5e5501cbeb80a7245175e140,Phường Bách Khoa
69,190.0,4.801504451949647,10.5,10.0,,KXĐ,,21.0146013,105.8492911,9000.0,47.36842105263158,5e958eea208d0d6d7648fe20,Đường Trần Nhân Tông,10.0,,
70,42.0,4.801504451949647,6.0,4.5,,KXĐ,,21.005662,105.851676,16500.0,392.8571428571428,5e958eea208d0d6d7648fe1f,Đường Trần Khát Chân,,,
71,25.0,4.801504451949647,5.0,6.7,,KXĐ,,21.005662,105.851676,11000.0,440.0,5e958eea208d0d6d7648fe1f,Đường Trần Khát Chân,19.0,,
72,42.0,4.801504451949647,7.0,4.2,,KXĐ,,21.005662,105.851676,27800.0,661.9047619047619,5e958eea208d0d6d7648fe17,Đường Thái Phiên,,,
73,43.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0010321,105.8451127,8900.0,206.9767441860465,5e958eea208d0d6d7648fe58,Phố Trần Đại Nghĩa,,,
74,31.0,4.801504451949647,5.0,3.0,,KXĐ,,21.005662,105.851676,6900.0,222.58064516129036,5e958eea208d0d6d7648fe34,Phố Chùa Quỳnh,9.0,,
75,142.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0101582,105.8532279,32000.0,225.35211267605635,5e958eea208d0d6d7648fe35,Phố Chùa Vua,,,
76,105.0,4.801504451949647,4.0,7.0,,KXĐ,,21.0010321,105.8451127,24000.0,228.57142857142856,5e958eea208d0d6d7648fe58,Phố Trần Đại Nghĩa,60.0,,
77,90.0,4.801504451949647,8.0,4.5,,KXĐ,,21.0146013,105.8492911,43000.0,477.77777777777777,5e958eea208d0d6d7648fdfc,Đường Nguyễn An Ninh,10.0,,
78,90.0,4.801504451949647,5.0,4.5,,KXĐ,,21.005662,105.851676,26000.0,288.8888888888889,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,20.0,,
79,231.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0146013,105.8492911,235000.0,643.8356164383562,5e958eea208d0d6d7648fe30,Phố Bà Triệu,,,
80,200.0,4.801504451949647,4.776731098605334,,,KXĐ,,21.0146013,105.8492911,,,5e958eea208d0d6d7648fe24,Đường Triệu Việt Vương,,,
81,220.0,4.801504451949647,1.0,7.5,,KXĐ,,21.0115971,105.8533051,115000.0,522.7272727272727,5e958eea208d0d6d7648fe4d,Phố Phố Huế,35.0,5e5501cbeb80a7245175e13b,Phường Phố Huế
82,90.0,4.801504451949647,5.0,4.0,,KXĐ,,20.9979326,105.8503243,,277.77777777777777,5e958eea208d0d6d7648fe31,Phố Bạch Mai,25.0,5e5501cbeb80a7245175e143,Phường Bạch Mai
83,231.0,4.801504451949647,2.0,10.0,,KXĐ,,21.005662,105.851676,96600.0,322.0,5e958eea208d0d6d7648fe36,Phố Đại La,50.0,,
84,231.0,4.801504451949647,9.0,,,KXĐ,,21.0146013,105.8492911,,,5e958eea208d0d6d7648fe3d,Phố Hòa Mã,16.0,,
85,231.0,4.801504451949647,9.0,10.0,,KXĐ,,21.0146013,105.8492911,134000.0,531.7460317460317,5e958eea208d0d6d7648fe30,Phố Bà Triệu,,,
86,65.0,4.801504451949647,5.0,,,KXĐ,,21.005662,105.851676,15000.0,230.7692307692308,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,,
87,231.0,4.801504451949647,4.776731098605334,12.0,,,,21.009614,105.851476,75000.0,178.99761336515513,5e958eea208d0d6d7648fdf4,Đường Lê Đại Hành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
88,231.0,3.0,1.0,15.0,,,,20.9954314,105.8564223,72000.0,276.9230769230769,5e958eea208d0d6d7648fdf9,Đường Minh Khai,,5e5501cbeb80a7245175e146,Phường Minh Khai
