,dien_tich,phong_ngu,so_tang,lat,long,gia,gia_m2,ten_duong,ten_phuong,so_do2
0,48.0,4.801504451949647,1.0,21.0127217,105.8465188,19200.0,400.0,56,5,0
1,51.0,4.0,5.0,20.9963826,105.8619728,7100.0,139.2156862745098,78,14,0
2,120.0,4.801504451949647,4.776731098605334,20.999962,105.8616199,29000.0,241.66666666666663,51,16,0
3,46.0,4.801504451949647,4.776731098605334,20.9965967,105.864007,15180.0,330.0,60,6,1
10,69.0,4.801504451949647,4.0,20.9979326,105.8503243,25000.0,362.3188405797101,3,2,0
13,141.0,4.801504451949647,10.0,21.0146013,105.8492911,70500.0,500.0,41,1,0
14,140.0,4.801504451949647,9.0,21.005662,105.851676,56000.0,400.0,60,6,0
15,48.8,4.801504451949647,4.776731098605334,20.9979896,105.8666987,5100.0,104.50819672131148,60,6,1
17,150.0,10.5,10.5,21.014855,105.8504718,110000.0,733.3333333333334,41,1,1
19,83.0,4.801504451949647,5.0,21.005662,105.851676,22990.0,276.9879518072289,3,2,0
23,39.3,4.801504451949647,4.776731098605334,20.9992609,105.8622475,4600.0,115.0,93,16,1
26,75.0,4.801504451949647,4.776731098605334,21.005662,105.851676,12300.0,164.0,81,15,0
27,106.0,4.801504451949647,4.0,20.9979326,105.8503243,16500.0,155.66037735849056,3,2,0
31,200.0,6.0,5.0,21.0164338,105.8503476,86000.0,463.1578947368421,80,1,0
32,100.0,4.801504451949647,10.0,21.0146013,105.8492911,60000.0,600.0,41,1,0
34,57.0,4.801504451949647,4.776731098605334,20.9979326,105.8503243,21300.0,373.6842105263158,3,2,0
37,32.0,4.801504451949647,4.0,21.0115971,105.8533051,17500.0,546.875,24,10,0
39,75.0,4.801504451949647,4.776731098605334,21.005662,105.851676,12300.0,164.0,81,15,0
40,25.0,4.801504451949647,4.0,21.005662,105.851676,7900.0,316.0,78,14,0
41,31.0,4.0,5.0,21.0081338,105.8462749,5300.0,170.96774193548387,96,4,1
42,46.0,6.0,6.0,21.0125745,105.8462127,28000.0,608.695652173913,70,5,1
43,45.0,2.0,3.0,21.0138567,105.8543244,9200.0,204.44444444444449,64,10,1
44,140.0,4.801504451949647,4.776731098605334,21.0151325,105.8492108,68000.0,485.7142857142857,65,7,1
45,72.0,4.801504451949647,4.776731098605334,20.9976325,105.842556,25000.0,347.22222222222223,25,0,0
47,50.0,4.801504451949647,4.776731098605334,21.0146013,105.8492911,32000.0,640.0,41,1,0
48,38.0,3.0,6.0,21.0101582,105.8532279,12500.0,328.94736842105266,5,10,1
49,141.0,4.801504451949647,10.0,21.014855,105.8504718,70000.0,496.4539007092199,41,1,0
50,63.0,4.0,3.0,20.996536,105.862438,13900.0,220.63492063492063,51,16,1
51,47.0,3.0,5.0,20.9954314,105.8564223,10900.0,231.91489361702128,60,6,1
52,60.0,6.0,5.0,20.9966858,105.8738462,14100.0,235.0,45,6,1
54,27.0,4.801504451949647,4.776731098605334,21.0123071,105.8451758,5500.0,203.7037037037037,56,5,0
55,30.0,4.801504451949647,4.776731098605334,21.0053964,105.8569193,6000.0,200.0,78,14,0
58,65.0,4.801504451949647,4.776731098605334,20.9959104,105.8576533,19000.0,292.3076923076923,60,6,0
59,175.0,4.801504451949647,4.776731098605334,21.0115168,105.8533481,138000.0,788.5714285714286,24,10,0
61,75.0,4.801504451949647,4.776731098605334,21.0068975,105.8715997,17000.0,226.66666666666663,77,13,0
62,139.0,4.801504451949647,9.0,21.005662,105.851676,56000.0,402.8776978417266,60,6,0
63,70.0,4.801504451949647,2.0,21.005662,105.851676,19500.0,278.57142857142856,60,6,0
64,32.0,4.0,5.0,21.0069151,105.8656789,4950.0,154.6875,95,17,0
66,231.0,4.801504451949647,3.0,21.0115971,105.8533051,135000.0,567.2268907563025,24,10,0
68,90.0,8.0,6.0,21.0015145,105.8458686,24000.0,266.6666666666667,14,0,0
81,220.0,4.801504451949647,1.0,21.0115971,105.8533051,115000.0,522.7272727272727,24,10,0
82,90.0,4.801504451949647,5.0,20.9979326,105.8503243,,277.77777777777777,3,2,0
87,231.0,4.801504451949647,4.776731098605334,21.009614,105.851476,75000.0,178.99761336515513,56,5,0
88,231.0,3.0,1.0,20.9954314,105.8564223,72000.0,276.9230769230769,60,6,0
89,97.0,4.0,8.0,21.0168656,105.8535492,43000.0,443.29896907216494,22,8,0
90,34.0,4.0,6.0,21.015125,105.8503804,23500.0,691.1764705882352,41,1,1
93,180.0,4.801504451949647,4.776731098605334,20.9979326,105.8503243,46000.0,255.55555555555557,3,2,0
94,100.0,4.801504451949647,10.0,20.9963878,105.8619928,61000.0,610.0,41,1,1
95,92.0,10.0,5.0,21.0088308,105.8632384,24500.0,266.30434782608694,84,13,0
96,90.0,6.0,5.0,21.0018418,105.8436575,26000.0,288.8888888888889,14,19,0
97,79.0,8.0,6.0,20.9970859,105.84487,20300.0,256.9620253164557,38,19,1
98,177.0,4.801504451949647,10.5,21.0164338,105.8503476,130000.0,734.4632768361582,80,1,0
99,80.0,4.801504451949647,4.0,20.9968349,105.8457932,,,30,19,0
100,45.0,5.0,6.0,21.0125745,105.8462127,28000.0,622.2222222222222,70,5,1
101,42.0,7.0,6.0,21.0105643,105.850245,28000.0,666.6666666666666,41,1,1
102,82.0,6.0,4.776731098605334,21.0043966,105.8611706,,,77,13,0
103,100.0,4.801504451949647,4.776731098605334,20.9979326,105.8503243,33000.0,330.0,3,2,0
104,47.0,3.0,5.0,20.9954314,105.8564223,10700.0,231.91489361702128,60,6,1
105,231.0,4.801504451949647,4.0,21.0115168,105.8533481,110000.0,458.3333333333333,24,10,0
106,110.0,10.5,9.0,20.9979326,105.8503243,26500.0,240.9090909090909,3,2,0
109,27.5,4.801504451949647,4.0,21.018213,105.8413803,9500.0,345.45454545454544,65,7,1
110,200.0,4.801504451949647,4.776731098605334,21.005662,105.851676,29000.0,145.0,78,14,0
117,46.0,4.801504451949647,4.0,21.005662,105.851676,17500.0,380.4347826086956,3,2,0
118,172.0,8.0,8.0,20.9979326,105.8503243,46000.0,267.4418604651163,3,2,0
119,132.0,3.0,2.0,21.0158326,105.8565768,33500.0,253.7878787878788,16,17,1
120,42.0,4.801504451949647,3.0,21.014855,105.8504718,21000.0,500.0,41,1,0
121,45.0,4.801504451949647,7.0,21.0105643,105.850245,,,56,5,1
122,49.0,4.801504451949647,3.0,20.996688,105.8450657,12600.0,257.1428571428572,60,6,0
123,108.0,10.5,10.0,21.0164338,105.8503476,76000.0,703.7037037037037,80,1,1
124,70.0,4.0,5.0,20.9954314,105.8564223,18000.0,257.1428571428572,60,6,1
126,132.0,3.0,4.776731098605334,21.0180919,105.8553024,33500.0,253.7878787878788,23,9,1
127,63.0,4.801504451949647,4.776731098605334,20.9954314,105.8564223,6200.0,98.41269841269842,60,6,1
128,70.0,7.0,5.0,20.9972657,105.8427448,18000.0,264.2857142857143,25,19,1
129,32.0,5.0,4.0,21.0146067,105.8515182,17500.0,546.875,71,8,1
130,70.0,4.801504451949647,4.776731098605334,20.996688,105.8450657,,,60,6,1
131,100.0,3.0,7.0,21.0168656,105.8535492,43000.0,430.0,22,7,1
132,100.0,7.0,7.0,21.0168656,105.8535492,43000.0,430.0,22,7,1
133,79.0,3.0,3.0,20.9970859,105.84487,18500.0,234.1772151898734,38,19,1
134,183.0,10.5,8.0,20.9979752,105.8411441,50000.0,273.224043715847,48,6,0
135,71.0,1.0,7.0,20.9972657,105.8427448,,,25,19,1
136,70.0,4.0,3.0,21.0027755,105.8563287,7500.0,107.14285714285714,78,14,0
137,66.0,4.801504451949647,4.776731098605334,21.0043966,105.8611706,15900.0,212.12121212121207,77,13,0
138,100.0,5.0,3.0,21.0161014,105.8541986,25000.0,250.0,71,8,0
139,35.0,6.0,5.0,20.995818,105.8498965,4200.0,120.0,81,15,1
140,35.0,6.0,5.0,21.0180919,105.8553024,10900.0,311.42857142857144,71,8,1
141,172.0,4.801504451949647,4.776731098605334,20.9979326,105.8503243,48900.0,284.30232558139534,3,2,0
142,94.0,4.801504451949647,4.776731098605334,21.0166103,105.8532494,32000.0,340.4255319148936,71,8,0
143,231.0,10.0,4.0,20.9982638,105.8673667,300000.0,146.27011214041931,60,6,1
144,33.0,4.0,4.0,21.0115168,105.8533481,17500.0,530.3030303030303,24,10,0
145,231.0,6.0,4.776731098605334,20.9982129,105.8502352,15000.0,37.5,81,15,1
146,70.0,1.0,4.776731098605334,21.0116887,105.8477673,17000.0,242.8571428571429,56,5,1
147,220.0,1.0,4.776731098605334,21.0133684,105.8491251,97000.0,440.9090909090909,56,5,1
148,220.0,4.801504451949647,6.0,21.0029863,105.865675,48300.0,219.54545454545453,77,13,0
149,118.0,4.801504451949647,4.776731098605334,21.0087159,105.8538723,26300.0,222.88135593220335,84,10,0
150,66.0,4.801504451949647,1.0,21.0003665,105.8556883,7680.0,116.36363636363636,4,11,1
151,163.0,4.801504451949647,7.0,21.0146013,105.8492911,73350.0,450.0,65,7,0
156,89.0,7.0,5.0,20.9979326,105.8503243,24500.0,275.2808988764045,3,2,1
157,100.0,4.801504451949647,5.0,20.9979326,105.8503243,17000.0,170.0,3,2,0
158,90.0,4.801504451949647,4.0,20.9979326,105.8503243,16500.0,183.33333333333331,3,2,0
159,120.0,4.801504451949647,3.0,21.0012054,105.8545375,12000.0,100.0,2,2,1
160,65.0,4.801504451949647,3.0,21.0003255,105.8631135,8500.0,130.76923076923077,93,16,1
161,145.0,4.801504451949647,4.776731098605334,20.996536,105.862438,12000.0,82.75862068965517,77,13,1
162,45.0,3.0,4.0,21.0010234,105.8456824,7800.0,173.33333333333334,14,0,1
163,80.0,4.801504451949647,2.0,21.005662,105.851676,20000.0,250.0,60,6,0
164,118.0,10.0,10.0,21.0155332,105.8509731,75000.0,635.5932203389831,80,4,1
165,56.0,4.801504451949647,4.776731098605334,21.0164338,105.8503476,42000.0,750.0,80,1,1
166,141.0,10.5,10.5,20.9963878,105.8619928,73000.0,517.7304964539007,41,1,0
167,55.0,3.0,3.0,20.9963878,105.8619928,6000.0,109.0909090909091,60,6,0
168,32.0,5.0,6.0,21.0015145,105.8458686,8300.0,259.375,14,0,1
169,120.0,10.5,10.5,21.014855,105.8504718,62000.0,516.6666666666666,41,1,0
170,75.0,4.0,6.0,21.0015145,105.8458686,26500.0,353.3333333333333,14,0,1
171,60.0,6.0,6.0,20.996268,105.847056,12800.0,213.33333333333331,30,5,1
